iso3,year,gdp_usd,population,inflation_rate,gdp_log,pop_log,node_id
ABW,2011,107415480500.0,18651931.0,0.0,25.399969972747947,16.741460291182065,0
AFG,2011,2674851578587.27,1374659064.0,0.0,28.614915010097288,21.041471584592312,1
AGO,2011,107415480500.0,18651931.0,0.0,25.399969972747947,16.741460291182065,2
AIA,2011,107415480500.0,18651931.0,0.0,25.399969972747947,16.741460291182065,3
ALB,2011,107415480500.0,18651931.0,0.0,25.399969972747947,16.741460291182065,4
ARE,2011,2674851578587.27,1374659064.0,0.0,28.614915010097288,21.041471584592312,6
ARG,2011,2674851578587.27,1374659064.0,0.0,28.614915010097288,21.041471584592312,7
ARM,2011,107415480500.0,18651931.0,0.0,25.399969972747947,16.741460291182065,8
ASM,2011,107415480500.0,18651931.0,0.0,25.399969972747947,16.741460291182065,9
ATG,2011,107415480500.0,18651931.0,0.0,25.399969972747947,16.741460291182065,10
AUS,2011,2674851578587.27,1374659064.0,0.0,28.614915010097288,21.041471584592312,11
AUT,2011,2674851578587.27,1374659064.0,0.0,28.614915010097288,21.041471584592312,12
AZE,2011,107415480500.0,18651931.0,0.0,25.399969972747947,16.741460291182065,13
BDI,2011,107415480500.0,18651931.0,0.0,25.399969972747947,16.741460291182065,14
BEL,2011,2674851578587.27,1374659064.0,0.0,28.614915010097288,21.041471584592312,15
BEN,2011,107415480500.0,18651931.0,0.0,25.399969972747947,16.741460291182065,16
BFA,2011,107415480500.0,18651931.0,0.0,25.399969972747947,16.741460291182065,17
BGD,2011,2674851578587.27,1374659064.0,0.0,28.614915010097288,21.041471584592312,18
BGR,2011,2674851578587.27,1374659064.0,0.0,28.614915010097288,21.041471584592312,19
BHR,2011,107415480500.0,18651931.0,0.0,25.399969972747947,16.741460291182065,20
BHS,2011,107415480500.0,18651931.0,0.0,25.399969972747947,16.741460291182065,21
BIH,2011,107415480500.0,18651931.0,0.0,25.399969972747947,16.741460291182065,22
BLR,2011,2674851578587.27,1374659064.0,0.0,28.614915010097288,21.041471584592312,23
BLZ,2011,107415480500.0,18651931.0,0.0,25.399969972747947,16.741460291182065,24
BMU,2011,107415480500.0,18651931.0,0.0,25.399969972747947,16.741460291182065,25
BOL,2011,107415480500.0,18651931.0,0.0,25.399969972747947,16.741460291182065,26
BRA,2011,2674851578587.27,1374659064.0,0.0,28.614915010097288,21.041471584592312,27
BRB,2011,107415480500.0,18651931.0,0.0,25.399969972747947,16.741460291182065,28
BRN,2011,107415480500.0,18651931.0,0.0,25.399969972747947,16.741460291182065,29
BTN,2011,107415480500.0,18651931.0,0.0,25.399969972747947,16.741460291182065,30
BWA,2011,107415480500.0,18651931.0,0.0,25.399969972747947,16.741460291182065,31
CAF,2011,107415480500.0,18651931.0,0.0,25.399969972747947,16.741460291182065,32
CAN,2011,2674851578587.27,1374659064.0,0.0,28.614915010097288,21.041471584592312,33
CHE,2011,2674851578587.27,1374659064.0,0.0,28.614915010097288,21.041471584592312,34
CHL,2011,2674851578587.27,1374659064.0,0.0,28.614915010097288,21.041471584592312,35
