typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","0","W00","World","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"11663325523","11663325523","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","4","AFG","Afghanistan","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"44189016","44189016","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","8","ALB","Albania","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"226696","226696","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","12","DZA","Algeria","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"47668850","47668850","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","16","ASM","American Samoa","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"688","688","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","24","AGO","Angola","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"64909163","64909163","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","28","ATG","Antigua and Barbuda","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"196072","196072","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","31","AZE","Azerbaijan","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"6116573","6116573","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","32","ARG","Argentina","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"16096434","16096434","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","36","AUS","Australia","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"181467865","181467865","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","40","AUT","Austria","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"10085425","10085425","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","44","BHS","Bahamas","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1311515","1311515","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","48","BHR","Bahrain","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"2587223","2587223","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","X","Export","50","BGD","Bangladesh","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"29412422","29412422","0","true","false",
