typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","0","W00","World","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1631153579",,"1631153579","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","4","AFG","Afghanistan","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1659",,"1659","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","32","ARG","Argentina","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","66062",,"66062","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","21812186",,"21812186","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","40","AUT","Austria","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","12173011",,"12173011","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","48","BHR","Bahrain","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","472",,"472","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","50","BGD","Bangladesh","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1524",,"1524","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","56","BEL","Belgium","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","61651419",,"61651419","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","76","BRA","Brazil","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","59340354",,"59340354","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","100","BGR","Bulgaria","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","111290",,"111290","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","112","BLR","Belarus","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","7868",,"7868","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","124","CAN","Canada","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","13375101",,"13375101","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","144","LKA","Sri Lanka","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","456207",,"456207","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","152","CHL","Chile","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","457052",,"457052","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","156","CHN","China","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","125381685",,"125381685","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","170","COL","Colombia","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","37535",,"37535","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","178","COG","Congo","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","50746",,"50746","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","180","COD","Dem. Rep. of the Congo","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","302",,"302","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","188","CRI","Costa Rica","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","63",,"63","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","191","HRV","Croatia","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","3712",,"3712","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","192","CUB","Cuba","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","852173",,"852173","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","196","CYP","Cyprus","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","228181",,"228181","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","203","CZE","Czechia","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1301609",,"1301609","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","208","DNK","Denmark","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","55942928",,"55942928","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","214","DOM","Dominican Rep.","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","97174",,"97174","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","231","ETH","Ethiopia","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","174149",,"174149","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","246","FIN","Finland","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","13145610",,"13145610","0","true","false",
"C","A","20140101","2014","52","2014","699","IND","India","M","Import","251","FRA","France","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","106144965",,"106144965","0","true","false",
