country_iso3,country_name,year,gdp,gdpcap,pop
ABW,Aruba,2016,2983637430.1676,27441.5502144601,108727.0
ABW,Aruba,2017,3092427932.96089,28440.0416881491,108735.0
ABW,Aruba,2018,3276187709.49721,30082.1584226798,108908.0
ABW,Aruba,2019,3346623191.45988,30645.8906024548,109203.0
ABW,Aruba,2020,2471419181.71957,22759.8071750722,108587.0
ABW,Aruba,2021,2880902798.92288,26749.3296093118,107700.0
ABW,Aruba,2022,3324034443.26581,30975.9989121779,107310.0
AFE,Africa Eastern and Southern,2016,831868076442.431,1334.47050032928,623369401.0
AFE,Africa Eastern and Southern,2017,978076465866.452,1528.10422421284,640058741.0
AFE,Africa Eastern and Southern,2018,1020955778298.17,1552.07372194919,657801085.0
AFE,Africa Eastern and Southern,2019,1018714795912.35,1507.08559963484,675950189.0
AFE,Africa Eastern and Southern,2020,938607563405.087,1351.59166910879,694446100.0
AFE,Africa Eastern and Southern,2021,1114144799994.21,1562.41617477738,713090928.0
AFE,Africa Eastern and Southern,2022,1228967879390.01,1679.32762166466,731821393.0
AFG,Afghanistan,2016,18116572395.0772,522.082215583898,34700612.0
AFG,Afghanistan,2017,18753456497.8159,525.469770891619,35688935.0
AFG,Afghanistan,2018,18053222687.4126,491.337221382603,36743039.0
AFG,Afghanistan,2019,18799444490.1128,496.6025042585,37856121.0
AFG,Afghanistan,2020,19955929052.1496,510.787063366811,39068979.0
AFG,Afghanistan,2021,14259995441.0759,356.496214115892,40000412.0
AFG,Afghanistan,2022,14497243872.1337,357.261152798144,40578842.0
AFW,Africa Western and Central,2016,700028168335.244,1630.03943895258,429454743.0
AFW,Africa Western and Central,2017,694051345937.233,1574.23056437855,440882906.0
AFW,Africa Western and Central,2018,777840323023.311,1720.14009242722,452195915.0
AFW,Africa Western and Central,2019,1026996211935.8,2216.38505520833,463365429.0
AFW,Africa Western and Central,2020,963784699293.976,2030.86165860293,474569351.0
AFW,Africa Western and Central,2021,1026651004045.79,2112.79407637079,485920997.0
AFW,Africa Western and Central,2022,1063649130876.99,2138.47315259913,497387180.0
AGO,Angola,2016,59878249719.3279,2051.81462126253,29183070.0
AGO,Angola,2017,84376935689.3366,2790.71886869768,30234839.0
AGO,Angola,2018,89512794227.495,2860.0936483682,31297155.0
AGO,Angola,2019,80734428592.5368,2493.67884440177,32375632.0
AGO,Angola,2020,58852456453.8769,1759.35619918264,33451132.0
AGO,Angola,2021,79559543805.2963,2303.90812662776,34532429.0
AGO,Angola,2022,131212208930.344,3682.1131513698,35635029.0
ALB,Albania,2016,11988668784.6628,4457.63412207495,2689469.0
ALB,Albania,2017,13258268435.6048,5006.36012951959,2648285.0
ALB,Albania,2018,15379508329.7568,5897.65452588774,2607733.0
ALB,Albania,2019,15585111614.0376,6069.43903131027,2567801.0
ALB,Albania,2020,15241458744.5927,6027.91350716348,2528480.0
ALB,Albania,2021,18031989573.0294,7242.45513146613,2489762.0
ALB,Albania,2022,19017247013.8821,7756.96188744253,2451636.0
AND,Andorra,2016,2896611878.6258,40129.8385811474,72181.0
AND,Andorra,2017,3000160414.63795,40672.9717424447,73763.0
AND,Andorra,2018,3218418631.67579,42819.7577456133,75162.0
AND,Andorra,2019,3155150255.91195,41257.816459345,76474.0
AND,Andorra,2020,2891002460.29153,37361.1070081615,77380.0
AND,Andorra,2021,3324648075.56293,42425.7066454357,78364.0
AND,Andorra,2022,3380611694.73392,42414.0479861228,79705.0
ARB,Arab World,2016,2536564595458.87,6042.19675439671,419808341.0
ARB,Arab World,2017,2611323720520.0,6096.72395041636,428315886.0
ARB,Arab World,2018,2920829737234.67,6699.18058175457,435998060.0
ARB,Arab World,2019,2965285548936.01,6674.34224402621,444281315.0
ARB,Arab World,2020,2604104981819.8,5739.41283580539,453723239.0
ARB,Arab World,2021,3085141461685.6,6697.41498492196,460646603.0
ARB,Arab World,2022,3747416641077.46,7950.35581975672,471352066.0
ARE,United Arab Emirates,2016,381717086453.37,42721.0999383185,8935095.0
ARE,United Arab Emirates,2017,403365010211.028,43733.6192287435,9223225.0
ARE,United Arab Emirates,2018,440560108917.631,47135.3591943971,9346701.0
ARE,United Arab Emirates,2019,433926208304.969,45938.6073581994,9445785.0
ARE,United Arab Emirates,2020,357161878829.135,37991.7492971665,9401038.0
ARE,United Arab Emirates,2021,422441388699.796,44118.5047192771,9575152.0
ARE,United Arab Emirates,2022,511403403675.97,50759.7589231191,10074977.0
ARG,Argentina,2016,557532320662.955,12699.9623137756,43900313.0
ARG,Argentina,2017,643628393281.364,14532.5009308511,44288894.0
ARG,Argentina,2018,524819892360.176,11752.7998922979,44654882.0
ARG,Argentina,2019,447754683615.225,9955.97478680428,44973465.0
ARG,Argentina,2020,385740508436.965,8535.59938004389,45191965.0
ARG,Argentina,2021,486564085480.036,10738.0179223384,45312281.0
ARG,Argentina,2022,633993756301.08,13962.1894087223,45407904.0
ARM,Armenia,2016,10546136235.5219,3524.42476874707,2992300.0
ARM,Armenia,2017,11527458709.0158,3869.05373867752,2979400.0
ARM,Armenia,2018,12457940694.7395,4196.00562301769,2969000.0
ARM,Armenia,2019,13619290539.2116,4597.22887399548,2962500.0
ARM,Armenia,2020,12641698583.2152,4268.68093304583,2961500.0
ARM,Armenia,2021,13878908628.9378,4685.17997128509,2962300.0
ARM,Armenia,2022,19513506553.1251,6571.97445545099,2969200.0
ASM,American Samoa,2016,671000000.0,12843.3342903627,52245.0
ASM,American Samoa,2017,612000000.0,11863.6839452565,51586.0
ASM,American Samoa,2018,639000000.0,12552.0546868861,50908.0
ASM,American Samoa,2019,647000000.0,12886.1359517218,50209.0
ASM,American Samoa,2020,721000000.0,14489.2586563775,49761.0
ASM,American Samoa,2021,750000000.0,15236.1604875571,49225.0
ASM,American Samoa,2022,871000000.0,18017.4589383973,48342.0
ATG,Antigua and Barbuda,2016,1489603703.7037,16556.8551801588,89969.0
ATG,Antigua and Barbuda,2017,1534855555.55556,16965.7288273816,90468.0
ATG,Antigua and Barbuda,2018,1661529629.62963,18273.4270684912,90926.0
ATG,Antigua and Barbuda,2019,1726448148.14815,18896.3721832248,91364.0
ATG,Antigua and Barbuda,2020,1411637037.03704,15369.6082250401,91846.0
ATG,Antigua and Barbuda,2021,1602125925.92593,17348.6006987182,92349.0
ATG,Antigua and Barbuda,2022,1866566666.66667,20105.1989085164,92840.0
AUS,Australia,2016,1211588128417.61,50084.4440606385,24190907.0
AUS,Australia,2017,1330890554614.09,54117.547718609,24592588.0
AUS,Australia,2018,1433144978761.67,57410.1737346009,24963258.0
AUS,Australia,2019,1398349602956.35,55194.7585097428,25334826.0
AUS,Australia,2020,1333336461648.09,51983.4523666382,25649248.0
AUS,Australia,2021,1560617493202.69,60758.9044397144,25685412.0
AUS,Australia,2022,1695627535475.8,65169.5191118657,26018721.0
AUT,Austria,2016,393687359770.273,45061.4993920192,8736668.0
AUT,Austria,2017,414926138132.691,47163.7425775142,8797566.0
AUT,Austria,2018,452582294972.775,51194.0749841299,8840521.0
AUT,Austria,2019,442983642371.842,49885.9947355204,8879920.0
AUT,Austria,2020,434397601557.696,48716.4098900349,8916864.0
AUT,Austria,2021,480466363176.806,53648.6437976214,8955797.0
AUT,Austria,2022,473221298968.216,52336.7725223758,9041851.0
AZE,Azerbaijan,2016,37866996882.9157,3880.6852276838,9757812.0
AZE,Azerbaijan,2017,40866627351.9817,4147.1981423222,9854033.0
AZE,Azerbaijan,2018,47112470051.7701,4739.7943123408,9939771.0
AZE,Azerbaijan,2019,48174235294.1176,4805.75371765917,10024283.0
AZE,Azerbaijan,2020,42693000000.0,4229.91064904503,10093121.0
AZE,Azerbaijan,2021,54825411764.7059,5408.04535175023,10137750.0
AZE,Azerbaijan,2022,78807470588.2353,7770.594223351,10141756.0
BDI,Burundi,2016,2618093125.14687,232.937812100153,11239451.0
BDI,Burundi,2017,2831362208.34039,246.060725714184,11506762.0
BDI,Burundi,2018,2913411408.44783,245.661678332009,11859446.0
BDI,Burundi,2019,2871555326.31029,234.31061590725,12255336.0
BDI,Burundi,2020,3227847281.31544,255.8324539389,12617036.0
BDI,Burundi,2021,3435598072.7935,264.980379269655,12965481.0
BDI,Burundi,2022,4036192552.88879,302.992505263552,13321097.0
BEL,Belgium,2016,474271566739.729,41854.5498296444,11331422.0
BEL,Belgium,2017,500908767351.53,44035.3239358548,11375158.0
BEL,Belgium,2018,542638913427.921,47487.2100392561,11427054.0
BEL,Belgium,2019,536726344405.489,46716.6227467964,11488980.0
BEL,Belgium,2020,529694473501.791,45906.2875805246,11538604.0
BEL,Belgium,2021,598522422241.851,51658.238294958,11586195.0
BEL,Belgium,2022,591085783326.267,50605.7496677086,11680210.0
BEN,Benin,2016,11821065853.3838,1010.5338961993,11697842.0
BEN,Benin,2017,12701655836.9467,1054.97408066814,12039780.0
BEN,Benin,2018,14262408089.9261,1151.7409703472,12383347.0
BEN,Benin,2019,14391686313.4641,1130.82135339795,12726755.0
BEN,Benin,2020,15686741883.934,1200.19426557789,13070169.0
BEN,Benin,2021,17687623530.3355,1318.65158075198,13413417.0
BEN,Benin,2022,17425405090.862,1266.42711031904,13759501.0
BFA,Burkina Faso,2016,12833363045.3367,663.742364842886,19334856.0
BFA,Burkina Faso,2017,14106955615.3442,709.091535894695,19894407.0
BFA,Burkina Faso,2018,15890066221.2882,777.465618514048,20438288.0
BFA,Burkina Faso,2019,16032813503.3707,764.853077774946,20961952.0
BFA,Burkina Faso,2020,17725010532.5268,825.237038782475,21478690.0
BFA,Burkina Faso,2021,19697516284.3787,895.535288442991,21995243.0
BFA,Burkina Faso,2022,18622421394.6133,827.330843486661,22509038.0
BGD,Bangladesh,2016,265224515675.034,1649.28380858601,160811932.0
BGD,Bangladesh,2017,293732446624.596,1811.08221668646,162186147.0
BGD,Bangladesh,2018,321362752441.78,1965.24372731467,163523103.0
BGD,Bangladesh,2019,351231654603.692,2129.79896954606,164913055.0
BGD,Bangladesh,2020,373979442362.193,2248.85078828233,166298024.0
BGD,Bangladesh,2021,416271647911.014,2482.84917843357,167658854.0
BGD,Bangladesh,2022,460131689083.083,2716.48592780431,169384897.0
BGR,Bulgaria,2016,53929397039.2106,7822.49923292968,6894139.0
BGR,Bulgaria,2017,59167647387.606,8696.68930427924,6803468.0
BGR,Bulgaria,2018,66097226262.2191,9849.38397225174,6710798.0
BGR,Bulgaria,2019,68507731353.9114,10353.7204584127,6616726.0
BGR,Bulgaria,2020,70486877546.4901,10760.211975413,6550696.0
BGR,Bulgaria,2021,84374613233.36,12966.1457543396,6507301.0
BGR,Bulgaria,2022,90506153293.6733,13999.1949530956,6465097.0
BHR,Bahrain,2016,33884680851.0638,23800.001440631,1423726.0
BHR,Bahrain,2017,37204813829.7872,24784.7693514607,1501116.0
BHR,Bahrain,2018,39567978723.4043,26324.4066549559,1503091.0
BHR,Bahrain,2019,40446808510.6383,27259.7438599327,1483756.0
BHR,Bahrain,2020,35837632978.7234,24342.8444554718,1472204.0
BHR,Bahrain,2021,40840212765.9574,27147.8083882286,1504365.0
BHR,Bahrain,2022,46458191489.3617,30470.5219276023,1524693.0
BHS,"Bahamas, The",2016,11880900000.0,30616.5363157284,388055.0
BHS,"Bahamas, The",2017,12446900000.0,31875.4881749619,390485.0
BHS,"Bahamas, The",2018,12819200000.0,32642.3353203452,392717.0
BHS,"Bahamas, The",2019,13277000000.0,33640.3369861278,394675.0
BHS,"Bahamas, The",2020,10363200000.0,26178.7537607708,395863.0
BHS,"Bahamas, The",2021,12037000000.0,30367.8605757708,396373.0
BHS,"Bahamas, The",2022,13896800000.0,34957.1613279737,397538.0
BIH,Bosnia and Herzegovina,2016,17116926553.8513,4928.5665903114,3473003.0
BIH,Bosnia and Herzegovina,2017,18326373135.6099,5345.01978766473,3428682.0
BIH,Bosnia and Herzegovina,2018,20484058033.1144,6047.84707207392,3387000.0
BIH,Bosnia and Herzegovina,2019,20482608984.3316,6122.37541352353,3345533.0
BIH,Bosnia and Herzegovina,2020,20226038369.9191,6130.31187968266,3299349.0
BIH,Bosnia and Herzegovina,2021,23672712121.2671,7295.34378682258,3244907.0
BIH,Bosnia and Herzegovina,2022,24534663636.1778,7655.59421024383,3204802.0
BLR,Belarus,2016,47723545321.259,5039.77560949445,9469379.0
BLR,Belarus,2017,54725405751.1559,5785.54491935194,9458989.0
